Project,Start Using CI,Main Lang,Analized
aframevr/aframe,2016-01-13,JavaScript,Success
alohaeditor/Aloha-Editor,2014-03-21,JavaScript,Success
AnalyticalGraphicsInc/cesium,2013-07-01,JavaScript,Success
androidannotations/androidannotations,2014-06-07,Java,Success
andypetrella/spark-notebook,2015-12-04,JavaScript,Success
ansible/ansible,2015-03-10,Python,Success
apache/incubator-airflow,2015-10-14,Python,Success
apereo/cas,2013-09-16,Java,Success
appcelerator/titanium_mobile,2014-12-18,JavaScript,Success
BabylonJS/Babylon.js,2015-05-08,JavaScript,Success
bcit-ci/CodeIgniter,2012-03-10,PHP,Success
bokeh/bokeh,2014-04-07,Python,Success
boto/boto,2012-07-10,Python,Success
buildbot/buildbot,2013-08-27,Python,Success
bundler/bundler,2013-05-23,Ruby,Success
cakephp/cakephp,2012-05-13,PHP,Success
callemall/material-ui,2015-06-28,JavaScript,Success
craftyjs/Crafty,2014-01-29,JavaScript,Success
cython/cython,2012-12-21,Python,Success
divio/django-cms,2012-06-08,Python,Success
dropwizard/dropwizard,2013-04-05,Java,Success
dropwizard/metrics,2013-04-05,Java,Success
elastic/kibana,2014-10-14,JavaScript,Success
elastic/logstash,2013-09-18,Ruby,Success
ether/etherpad-lite,2012-11-14,JavaScript,Success
fchollet/keras,2015-09-07,Python,Success
fog/fog,2012-08-16,Ruby,Success
frappe/erpnext,2013-12-26,Python,Success
getsentry/sentry,2012-08-11,Python,Success
gollum/gollum,2013-03-15,JavaScript,Success
HabitRPG/habitica,2013-11-04,JavaScript,Success
hapijs/hapi,2013-03-05,JavaScript,Success
haraka/Haraka,2014-03-25,JavaScript,Success
invoiceninja/invoiceninja,2016-02-17,JavaScript,Success
ipython/ipython,2012-06-24,Python,Success
isagalaev/highlight.js,2014-08-13,JavaScript,Success
jashkenas/backbone,2012-11-28,JavaScript,Success
jashkenas/underscore,2012-12-28,JavaScript,Success
jsbin/jsbin,2014-01-07,JavaScript,Success
kivy/kivy,2012-10-18,Python,Success
laravel/laravel,2012-09-02,PHP,Success
Leaflet/Leaflet,2013-02-01,JavaScript,Success
loomio/loomio,2013-03-19,Ruby,Success
mantl/mantl,2016-02-02,Python,Success
matplotlib/matplotlib,2012-08-29,Python,Success
mizzy/serverspec,2013-06-30,Ruby,Success
mozilla/pdf.js,2013-02-01,JavaScript,Success
Netflix/Hystrix,2014-09-02,Java,Success
openhab/openhab,2015-05-21,Java,Success
owncloud/core,2014-05-23,PHP,Success
photonstorm/phaser,2014-04-01,JavaScript,Success
processing/p5.js,2015-01-26,JavaScript,Success
puppetlabs/puppet,2012-02-17,Ruby,Success
Pylons/pyramid,2012-06-24,Python,Success
rails/rails,2011-07-21,Ruby,Success
ReactiveX/RxJava,2014-08-29,Java,Success
refinery/refinerycms,2012-09-05,Ruby,Success
request/request,2013-10-15,JavaScript,Success
robolectric/robolectric,2013-05-09,Java,Success
roots/sage,2014-12-28,PHP,Success
saltstack/salt,2012-04-10,Python,Success
scikit-image/scikit-image,2012-10-04,Python,Success
scikit-learn/scikit-learn,2012-11-23,Python,Success
scipy/scipy,2013-05-25,Python,Success
serverless/serverless,2016-04-20,JavaScript,Success
siacs/Conversations,2015-01-04,Java,Success
square/picasso,2014-01-11,Java,Success
sympy/sympy,2012-06-21,Python,Success
TelescopeJS/Telescope,2015-01-19,JavaScript,Success
Theano/Theano,2012-08-02,Python,Success
twbs/bootstrap,2012-04-20,JavaScript,Success
vanilla/vanilla,2014-07-22,PHP,Success
woocommerce/woocommerce,2014-09-02,PHP,Success
Yelp/mrjob,2013-01-17,Python,Success
zurb/foundation-sites,2013-11-07,JavaScript,Success
