ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
144,2018-12-17T17:54:12+0100,2019-07-14T11:58:29+0200,208,luncliff/coroutine,0,0,96,562.5,0.7,0,32.05,2936,3766,3766,0,0,0.0348885407330336,396,2055,831.5,3258,1963,663887,84,324,81,2.25,0.389423076923077,0.293269230769231,1,3,2,2
200,2019-02-21T00:16:30+0100,2019-07-30T03:42:00+0200,159,OuiSouss/blackhole,0,0,17,287,0.7,1.3,17.8,1467,1467,1467,0,0,0.0115882753919564,135,460,147,460,696,32295,16,278,155,1.39,0.974842767295597,0.0628930817610063,1,1,1,4
1136,2019-03-14T22:00:21+0100,2019-07-30T02:51:09+0200,137,LibraryOfCongress/concordia,54,2,13,72,0,4,53.3,13348,14467,14467,0.00405725280235823,0.000148257968865827,0.00104209402062438,449,4791,827.5,2026,1139.5,327123,133,1288,133,1.13380281690141,0.970802919708029,0.496350364963504,2,4,2,4
352,2018-07-31T07:51:30+0200,2019-07-22T19:52:44+0200,356,osmlab/atlas-generator,0,3,82,710,0.4,0.6,18.4,5440,6135,6135,0,0.00049842166472836,0.014757750206103,280,1085,280,1085,791,86499,24,768,356,2.18181818181818,1,0.188202247191011,1,3,1,4
120,2019-03-26T18:56:26+0100,2019-07-30T01:05:39+0200,125,ressec/hemajoo-foundation,0,2,107,692,1.6,0,50.9,1422,1422,1422,0,0.00140646976090014,0.0752461322081575,166,297,166,297,62183.5,86601,3,128,122,1.06666666666667,0.976,0.016,1,2,4,4
136,2019-04-21T22:40:53+0200,2019-07-29T20:30:35+0200,98,apache/incubator-tamaya,1,0,190,2102,0.8,2.3,62.9,8550,8550,8550,0.000116959064327485,0,0.0222222222222222,268,569,1016,1535,2172,80525,18,162,88,1.19117647058824,0.897959183673469,0.173469387755102,2,3,2,4
152,2019-02-23T20:05:20+0100,2019-07-29T22:24:29+0200,156,Mastercard/oauth1-signer-php,0,0,1,7,0.1,0,93.5,184,184,184,0,0,0.00543478260869565,178.5,3212,346,1010,NA,NA,0,174,150,1.14473684210526,0.961538461538462,0.0576923076923077,4,2,NA,4
128,2019-03-23T20:43:35+0100,2019-07-29T23:03:29+0200,128,dsaltares/musicplayer-ui,0,0,7,80,0.3,0,61.9,763,763,763,0,0,0.00917431192660551,156,478,156,478,86502,86502,1,140,122,1.09375,0.953125,0.0078125,2,2,4,4
344,2018-10-11T09:54:56+0200,2019-07-29T20:31:55+0200,291,SonarSource/sonarqube,59,2,3532,36152,0.4,0.5,89.5,298478,298478,298478,0.000198200740397342,6.68493883280968e-06,0.0118218210834769,1102,3006,1492,3709,29708.5,983901,69,383,162,1.11337209302326,0.556701030927835,0.52233676975945,3,4,4,3
344,2017-09-09T14:38:05+0200,2019-07-29T00:24:09+0200,687,gurkenlabs/litiengine,4,0,104,1705,0.2,0.3,23.3,32210,37932,37932,0.000106128946670204,0,0.00302262388178182,178,23894,178,23894,3223.5,1767600,190,1255,274,3.64825581395349,0.398835516739447,0.547307132459971,1,2,3,2
