ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile,organization,project_name,AHH,CALLS_NOM,CYCLO_LOC,FANOUT_CALLS,LOC_NOM,NOC_NOP,NOM_NOC
352,2018-07-31T07:51:30+0200,2019-07-22T19:52:44+0200,356,osmlab/atlas-generator,18.4,5440.0,6135,6135,280.0,1085,280.0,1085,791.0,86499.0,24,768,356,2.18181818181818,1.0,0.188202247191011,1,3,1.0,4,osmlab,atlas-generator,0.03,1.5,0.18,0.33,6.18,2.5,2.48
120,2019-03-26T18:56:26+0100,2019-07-30T01:05:39+0200,125,ressec/hemajoo-foundation,50.9,1422.0,1422,1422,166.0,297,166.0,297,62183.5,86601.0,3,128,122,1.06666666666667,976.0,16.0,1,2,4.0,4,ressec,hemajoo-foundation,0.2,1.22,0.13,0.24,7.16,3.5,5.21
136,2019-04-21T22:40:53+0200,2019-07-29T20:30:35+0200,98,apache/incubator-tamaya,62.9,8550.0,8550,8550,268.0,569,1016.0,1535,2172.0,80525.0,18,162,88,1.19117647058824,0.8979591836734692,0.17346938775510198,2,3,2.0,4,apache,incubator-tamaya,0.02,4.69,0.19,0.29,6.96,9.5,6.07
344,2018-10-11T09:54:56+0200,2019-07-29T20:31:55+0200,291,SonarSource/sonarqube,89.5,298478.0,298478,298478,1102.0,3006,1492.0,3709,29708.5,983901.0,69,383,162,1.11337209302326,0.556701030927835,0.52233676975945,3,4,4.0,3,SonarSource,sonarqube,0.02,3.19,0.17,0.32,5.8,7.62,5.73
344,2017-09-09T14:38:05+0200,2019-07-29T00:24:09+0200,687,gurkenlabs/litiengine,23.3,32210.0,37932,37932,178.0,23894,178.0,23894,3223.5,1767600.0,190,1255,274,3.64825581395349,0.3988355167394471,0.547307132459971,1,2,3.0,2,gurkenlabs,litiengine,0.12,1.6,0.22,0.41,4.54,6.95,6.3
152,2019-02-27T07:00:05+0100,2019-07-29T19:35:04+0200,152,snuspl/incubator-nemo,39.2,29614.0,29614,29614,1302.5,3763,1405.0,3126,3324.0,85389.0,129,549,148,3.61184210526316,0.9736842105263158,0.111842105263158,1,4,3.0,4,snuspl,incubator-nemo,0.0,1.41,0.2,0.43,5.15,4.37,3.66
176,2019-02-01T17:08:08+0100,2019-07-29T18:01:32+0200,177,deeplyocean/oceans,71.6,419.0,419,419,103.0,354,103.0,354,,,0,179,173,1.01704545454545,0.977401129943503,0.0112994350282486,2,1,,4,deeplyocean,oceans,0.0,4.11,0.14,0.28,6.76,3.2,2.12
744,2018-07-12T19:19:02+0200,2019-07-30T04:17:47+0200,382,osmlab/atlas,68.3,74954.0,79991,79991,525.0,2910,524.5,2910,1648.0,86602.0,174,2488,378,3.34408602150538,0.989528795811518,0.463350785340314,2,4,2.0,4,osmlab,atlas,0.03,1.63,0.18,0.39,6.1850000000000005,2.995,6.42
608,2018-05-20T17:36:06+0200,2019-07-30T14:10:26+0200,435,webauthn4j/webauthn4j,82.9,7794.0,8320,8320,310.0,1244,1037.0,3460,1697.0,88678.0,61,1004,267,1.65131578947368,0.613793103448276,0.27816091954023,3,3,2.0,3,webauthn4j,webauthn4j,0.03,1.29,0.28,0.57,5.24,5.41,3.98
152,2018-10-12T15:19:47+0200,2019-07-26T16:12:47+0200,287,hmcts/sscs-bulk-scan,96.3,1471.0,1510,1510,203.0,452,201.0,452,1125.0,251526.0,63,1083,150,7125.0,0.522648083623693,0.470383275261324,4,2,2.0,3,hmcts,sscs-bulk-scan,0.0,3.57,0.165,0.15,7.390000000000001,2.11,1.5
